Log_ID,Timestamp,Username,IP_Address,Country,Login_Status,Failed_Attempts,Device,OS,Browser,Risk_Score,Attack_Type,Threat_Label
27,2026-01-30 04:01:00,aditya,192.168.49.120,Japan,Failed,4,Laptop,Android,Edge,78,Malware,Threat
28,2026-01-02 07:45:00,guest,192.168.21.5,China,Success,3,Mobile,macOS,Safari,33,Safe,Safe
29,2026-02-01 02:43:00,pooja,192.168.226.28,India,Failed,7,Desktop,Ubuntu,Safari,75,Phishing,Threat
30,2026-02-03 12:33:00,admin,192.168.202.33,Japan,Success,3,Desktop,Android,Safari,37,Safe,Safe
31,2026-01-13 00:16:00,amit,192.168.60.134,Brazil,Success,2,Laptop,Linux,Safari,11,Safe,Safe
32,2026-01-11 01:08:00,rohit,192.168.27.139,China,Failed,4,Mobile,Ubuntu,Edge,90,Malware,Threat
33,2026-01-19 00:48:00,test,192.168.10.104,Germany,Failed,6,Desktop,Linux,Safari,73,Credential Stuffing,Threat
34,2026-02-02 07:48:00,anita,192.168.111.126,USA,Success,1,Desktop,Android,Firefox,32,Safe,Safe
35,2026-01-23 07:12:00,sneha,192.168.244.176,Russia,Success,1,Laptop,Windows,Safari,38,Safe,Safe
36,2026-01-05 19:25:00,rahul,192.168.93.89,Japan,Success,0,Desktop,macOS,Safari,24,Safe,Safe
37,2026-01-29 21:43:00,vijay,192.168.233.253,Germany,Failed,5,Laptop,Windows,Chrome,91,Brute Force,Threat
38,2026-01-10 23:40:00,pooja,192.168.51.224,India,Failed,7,Laptop,Android,Safari,72,Credential Stuffing,Threat
39,2026-01-05 23:29:00,test,192.168.76.61,Australia,Failed,5,Mobile,Android,Chrome,100,Brute Force,Threat
40,2026-02-04 23:00:00,guest,192.168.72.140,Australia,Failed,6,Laptop,Ubuntu,Firefox,84,Credential Stuffing,Threat
41,2026-01-10 01:21:00,sneha,192.168.176.251,India,Failed,8,Laptop,Android,Firefox,94,Malware,Threat
42,2026-01-08 03:56:00,aditya,192.168.56.39,Russia,Failed,4,Mobile,Windows,Firefox,95,Malware,Threat
43,2026-01-21 01:18:00,admin,192.168.60.225,India,Success,3,Mobile,Linux,Safari,13,Safe,Safe
44,2026-01-20 05:26:00,pooja,192.168.104.79,Russia,Success,0,Desktop,Linux,Edge,27,Safe,Safe
45,2026-01-25 02:05:00,aditya,192.168.170.26,USA,Failed,4,Mobile,macOS,Edge,90,Malware,Threat
46,2026-02-03 22:20:00,alice,192.168.2.110,Germany,Failed,4,Mobile,Windows,Edge,95,Brute Force,Threat
47,2026-01-29 01:19:00,komal,192.168.2.48,Japan,Success,3,Mobile,Android,Firefox,30,Safe,Safe
48,2026-01-01 08:33:00,john,192.168.249.16,Brazil,Failed,5,Laptop,Windows,Edge,81,Credential Stuffing,Threat
49,2026-01-08 00:42:00,pooja,192.168.27.248,Australia,Failed,4,Mobile,Linux,Firefox,97,Malware,Threat
50,2026-01-30 02:28:00,rohit,192.168.183.32,USA,Failed,6,Laptop,Android,Chrome,70,Malware,Threat
51,2026-01-27 05:46:00,pooja,192.168.6.68,Russia,Success,2,Mobile,macOS,Safari,40,Safe,Safe
52,2026-01-30 00:05:00,bob,192.168.152.215,Germany,Success,0,Desktop,Linux,Firefox,25,Safe,Safe
53,2026-01-02 11:20:00,rahul,192.168.20.176,Australia,Failed,6,Laptop,Windows,Chrome,90,Brute Force,Threat
54,2026-01-29 06:19:00,komal,192.168.54.37,UK,Success,2,Laptop,macOS,Chrome,28,Safe,Safe
55,2026-01-07 07:22:00,guest,192.168.120.31,China,Failed,5,Desktop,Windows,Safari,79,Brute Force,Threat
56,2026-01-09 03:18:00,test,192.168.51.73,Brazil,Failed,6,Desktop,macOS,Chrome,80,Credential Stuffing,Threat
57,2026-01-03 17:34:00,bob,192.168.173.90,UK,Failed,7,Laptop,Android,Safari,84,Credential Stuffing,Threat
58,2026-02-04 04:33:00,test,192.168.226.28,Nigeria,Failed,8,Desktop,Ubuntu,Chrome,73,Phishing,Threat
59,2026-02-02 14:24:00,komal,192.168.234.114,Nigeria,Success,0,Mobile,macOS,Safari,39,Safe,Safe
60,2026-01-31 02:30:00,pooja,192.168.242.246,Australia,Failed,4,Laptop,Windows,Chrome,84,Phishing,Threat
61,2026-01-08 21:51:00,anita,192.168.8.192,Australia,Success,1,Desktop,Linux,Chrome,21,Safe,Safe
62,2026-01-04 04:35:00,amit,192.168.173.140,UK,Failed,7,Mobile,Android,Edge,87,Brute Force,Threat
63,2026-01-13 08:50:00,vijay,192.168.12.211,USA,Success,1,Laptop,Linux,Chrome,32,Safe,Safe
64,2026-01-12 13:56:00,sneha,192.168.132.47,Australia,Success,2,Laptop,Android,Firefox,23,Safe,Safe
65,2026-02-02 02:21:00,aditya,192.168.72.38,Australia,Failed,4,Desktop,Ubuntu,Edge,71,Credential Stuffing,Threat
66,2026-01-03 21:43:00,rahul,192.168.216.220,China,Success,1,Desktop,Linux,Safari,7,Safe,Safe
67,2026-02-01 23:23:00,anita,192.168.51.31,UK,Failed,5,Desktop,Ubuntu,Edge,88,Malware,Threat
68,2026-02-04 06:44:00,rahul,192.168.120.127,Brazil,Success,1,Desktop,Ubuntu,Firefox,15,Safe,Safe
69,2026-01-08 17:33:00,john,192.168.120.83,China,Failed,7,Laptop,Android,Firefox,94,Brute Force,Threat
70,2026-01-02 17:42:00,admin,192.168.51.23,Japan,Failed,8,Laptop,Linux,Edge,80,Malware,Threat
71,2026-01-29 04:20:00,vijay,192.168.27.113,India,Success,3,Mobile,Windows,Firefox,22,Safe,Safe
72,2026-01-27 12:51:00,komal,192.168.77.233,Germany,Failed,5,Mobile,Ubuntu,Safari,83,Malware,Threat
73,2026-01-12 16:25:00,john,192.168.159.233,Germany,Failed,5,Laptop,Linux,Chrome,82,Phishing,Threat
74,2026-01-29 23:36:00,test,192.168.198.119,India,Success,3,Desktop,Linux,Safari,7,Safe,Safe
75,2026-01-12 08:01:00,pooja,192.168.176.114,Japan,Success,0,Mobile,Windows,Chrome,33,Safe,Safe
76,2026-01-04 05:42:00,pooja,192.168.199.107,USA,Success,0,Desktop,Android,Safari,36,Safe,Safe
77,2026-01-02 08:14:00,john,192.168.231.124,USA,Failed,7,Desktop,Ubuntu,Safari,79,Phishing,Threat
78,2026-01-01 11:46:00,pooja,192.168.249.207,Nigeria,Failed,7,Laptop,Android,Chrome,80,Credential Stuffing,Threat
79,2026-01-05 08:25:00,aditya,192.168.25.93,Australia,Success,0,Desktop,macOS,Chrome,2,Safe,Safe
80,2026-01-16 20:06:00,rohit,192.168.246.82,Brazil,Failed,5,Desktop,Linux,Firefox,99,Phishing,Threat
81,2026-01-11 05:16:00,pooja,192.168.92.13,Brazil,Failed,8,Laptop,Linux,Edge,84,Brute Force,Threat
82,2026-01-25 13:53:00,bob,192.168.116.186,Russia,Failed,6,Desktop,Ubuntu,Edge,77,Credential Stuffing,Threat
83,2026-01-17 19:02:00,sneha,192.168.138.22,Australia,Failed,6,Mobile,Windows,Firefox,90,Brute Force,Threat
84,2026-01-05 03:01:00,aditya,192.168.168.87,Brazil,Failed,8,Laptop,Linux,Firefox,70,Brute Force,Threat
85,2026-01-06 17:06:00,sneha,192.168.215.223,Australia,Failed,5,Laptop,Windows,Firefox,77,Phishing,Threat
86,2026-01-25 01:14:00,pooja,192.168.80.65,UK,Failed,8,Laptop,macOS,Firefox,91,Brute Force,Threat
87,2026-01-05 16:19:00,sneha,192.168.92.100,Japan,Success,1,Mobile,macOS,Chrome,26,Safe,Safe
88,2026-01-28 06:38:00,rahul,192.168.9.8,Australia,Success,0,Laptop,Android,Firefox,39,Safe,Safe
89,2026-01-20 05:58:00,sneha,192.168.20.210,Nigeria,Failed,5,Mobile,Linux,Safari,86,Malware,Threat
90,2026-01-25 02:52:00,rahul,192.168.66.229,China,Success,1,Laptop,Ubuntu,Firefox,35,Safe,Safe
91,2026-01-10 01:03:00,vijay,192.168.76.109,Australia,Failed,5,Mobile,macOS,Edge,84,Malware,Threat
92,2026-01-06 19:17:00,admin,192.168.55.65,China,Failed,8,Mobile,Ubuntu,Edge,70,Brute Force,Threat
93,2026-01-11 05:02:00,john,192.168.19.163,India,Failed,5,Desktop,Windows,Chrome,72,Brute Force,Threat
94,2026-01-02 07:58:00,pooja,192.168.255.129,India,Success,0,Desktop,Linux,Firefox,13,Safe,Safe
95,2026-01-15 14:23:00,test,192.168.72.164,UK,Failed,6,Mobile,Ubuntu,Edge,89,Phishing,Threat
96,2026-01-24 01:20:00,rohit,192.168.52.77,Australia,Success,2,Mobile,macOS,Firefox,12,Safe,Safe
97,2026-01-04 16:03:00,bob,192.168.161.100,Brazil,Success,3,Mobile,Windows,Firefox,31,Safe,Safe
98,2026-01-30 20:48:00,priya,192.168.79.225,Japan,Success,0,Desktop,Windows,Edge,14,Safe,Safe
99,2026-01-31 23:28:00,guest,192.168.120.98,Germany,Failed,7,Mobile,Android,Safari,70,Credential Stuffing,Threat
100,2026-01-20 03:27:00,anita,192.168.24.95,China,Failed,5,Mobile,macOS,Firefox,90,Brute Force,Threat
101,2026-01-12 22:45:00,komal,192.168.77.146,Brazil,Success,2,Desktop,Ubuntu,Safari,7,Safe,Safe
102,2026-01-18 00:21:00,rohit,192.168.171.132,China,Failed,5,Desktop,Ubuntu,Firefox,82,Malware,Threat
103,2026-01-09 14:01:00,anita,192.168.45.174,Russia,Success,3,Desktop,Ubuntu,Chrome,19,Safe,Safe
104,2026-01-30 19:24:00,komal,192.168.129.143,Brazil,Failed,8,Laptop,Windows,Chrome,73,Phishing,Threat
105,2026-01-09 12:05:00,test,192.168.244.10,India,Failed,4,Laptop,Android,Firefox,87,Phishing,Threat
106,2026-01-28 13:52:00,priya,192.168.165.97,China,Success,1,Laptop,macOS,Firefox,20,Safe,Safe
107,2026-01-06 12:10:00,rahul,192.168.51.60,Russia,Failed,7,Desktop,Linux,Firefox,95,Phishing,Threat
108,2026-01-07 14:17:00,test,192.168.44.204,India,Success,3,Desktop,Windows,Edge,27,Safe,Safe
109,2026-02-02 10:13:00,priya,192.168.116.36,Japan,Success,1,Laptop,Android,Chrome,12,Safe,Safe
110,2026-01-20 20:09:00,sneha,192.168.132.6,Brazil,Success,3,Laptop,Linux,Safari,30,Safe,Safe
111,2026-01-17 16:14:00,john,192.168.107.200,Germany,Failed,5,Laptop,Linux,Chrome,73,Credential Stuffing,Threat
112,2026-01-11 07:15:00,priya,192.168.164.240,Nigeria,Failed,4,Mobile,Linux,Edge,100,Phishing,Threat
113,2026-01-25 10:58:00,guest,192.168.210.16,Australia,Failed,8,Laptop,macOS,Firefox,78,Malware,Threat
114,2026-01-17 12:53:00,aditya,192.168.245.158,China,Failed,8,Desktop,Ubuntu,Chrome,93,Malware,Threat
115,2026-01-28 06:02:00,komal,192.168.187.250,USA,Success,1,Mobile,Android,Edge,12,Safe,Safe
116,2026-01-31 19:35:00,pooja,192.168.214.139,Australia,Failed,8,Mobile,macOS,Safari,79,Malware,Threat
117,2026-01-28 08:24:00,amit,192.168.67.16,Brazil,Success,3,Laptop,Ubuntu,Safari,2,Safe,Safe
118,2026-01-21 12:45:00,bob,192.168.48.154,UK,Failed,7,Desktop,Android,Edge,86,Phishing,Threat
119,2026-01-29 15:08:00,rohit,192.168.20.3,Germany,Failed,4,Mobile,macOS,Edge,81,Brute Force,Threat
120,2026-01-03 11:03:00,aditya,192.168.63.99,UK,Success,3,Desktop,Linux,Edge,6,Safe,Safe
121,2026-01-14 08:17:00,admin,192.168.173.165,Germany,Success,2,Laptop,Android,Safari,40,Safe,Safe
122,2026-01-11 19:00:00,komal,192.168.199.58,Australia,Success,0,Laptop,Linux,Firefox,2,Safe,Safe
123,2026-01-16 15:51:00,test,192.168.238.153,India,Success,2,Desktop,macOS,Edge,9,Safe,Safe
124,2026-01-10 07:30:00,guest,192.168.113.8,Australia,Success,1,Mobile,Linux,Safari,16,Safe,Safe
125,2026-01-05 07:54:00,komal,192.168.236.189,India,Success,0,Mobile,Linux,Chrome,20,Safe,Safe
126,2026-01-16 06:12:00,bob,192.168.137.74,Brazil,Success,2,Desktop,macOS,Edge,29,Safe,Safe
127,2026-01-11 06:58:00,amit,192.168.147.169,Japan,Success,1,Mobile,Android,Firefox,35,Safe,Safe
128,2026-01-22 13:43:00,sneha,192.168.84.203,India,Success,0,Desktop,macOS,Firefox,3,Safe,Safe
129,2026-01-16 04:12:00,anita,192.168.11.215,Russia,Success,2,Laptop,Android,Safari,40,Safe,Safe
130,2026-01-22 22:40:00,alice,192.168.78.161,USA,Failed,6,Mobile,Windows,Firefox,72,Brute Force,Threat
131,2026-01-17 15:27:00,amit,192.168.232.78,Brazil,Failed,8,Laptop,Android,Safari,86,Credential Stuffing,Threat
132,2026-01-04 10:32:00,komal,192.168.45.91,China,Success,1,Desktop,Windows,Firefox,14,Safe,Safe
133,2026-01-28 16:12:00,guest,192.168.175.28,Russia,Success,1,Desktop,Linux,Edge,25,Safe,Safe
134,2026-01-06 20:18:00,pooja,192.168.229.238,Germany,Success,3,Laptop,macOS,Chrome,31,Safe,Safe
135,2026-01-19 02:42:00,vijay,192.168.81.253,Brazil,Failed,6,Laptop,Windows,Chrome,97,Malware,Threat
136,2026-01-21 06:08:00,rahul,192.168.41.237,USA,Success,2,Mobile,Android,Edge,15,Safe,Safe
137,2026-01-28 07:05:00,admin,192.168.78.16,USA,Failed,7,Laptop,Windows,Safari,85,Credential Stuffing,Threat
138,2026-01-30 11:41:00,alice,192.168.37.139,Brazil,Success,1,Laptop,Linux,Chrome,6,Safe,Safe
139,2026-02-02 22:09:00,admin,192.168.183.243,China,Failed,8,Laptop,macOS,Edge,86,Brute Force,Threat
140,2026-01-24 21:13:00,anita,192.168.167.204,UK,Success,1,Mobile,Linux,Edge,13,Safe,Safe
141,2026-01-25 14:29:00,anita,192.168.143.75,China,Success,1,Laptop,Linux,Firefox,6,Safe,Safe
142,2026-01-15 19:43:00,rohit,192.168.251.113,UK,Failed,8,Mobile,macOS,Firefox,87,Malware,Threat
143,2026-01-14 16:59:00,rohit,192.168.29.24,UK,Failed,6,Laptop,Android,Firefox,74,Credential Stuffing,Threat
144,2026-02-03 17:32:00,anita,192.168.108.164,Australia,Success,3,Desktop,Linux,Edge,36,Safe,Safe
145,2026-01-10 06:42:00,sneha,192.168.202.14,Nigeria,Failed,5,Desktop,Linux,Safari,93,Malware,Threat
146,2026-02-03 17:16:00,john,192.168.129.232,Brazil,Failed,4,Laptop,Linux,Edge,91,Phishing,Threat
147,2026-02-03 12:05:00,test,192.168.171.27,India,Success,2,Laptop,Ubuntu,Chrome,26,Safe,Safe
148,2026-01-10 05:16:00,guest,192.168.71.112,China,Failed,5,Laptop,Linux,Safari,81,Brute Force,Threat
149,2026-01-04 12:10:00,pooja,192.168.112.79,Australia,Success,1,Mobile,Android,Chrome,37,Safe,Safe
150,2026-01-19 02:22:00,rahul,192.168.124.200,India,Failed,7,Mobile,Linux,Safari,75,Phishing,Threat
151,2026-01-06 02:18:00,admin,192.168.53.212,Japan,Failed,7,Mobile,Windows,Chrome,84,Phishing,Threat
152,2026-01-28 05:00:00,rohit,192.168.228.199,UK,Failed,4,Desktop,Windows,Firefox,76,Brute Force,Threat
153,2026-01-04 02:42:00,sneha,192.168.113.5,Nigeria,Failed,7,Laptop,Ubuntu,Edge,76,Brute Force,Threat
154,2026-01-24 22:34:00,anita,192.168.67.186,Japan,Failed,5,Desktop,Linux,Safari,74,Malware,Threat
155,2026-01-26 20:45:00,bob,192.168.253.218,India,Failed,6,Desktop,Windows,Safari,70,Brute Force,Threat
156,2026-01-02 10:49:00,sneha,192.168.239.222,Brazil,Success,2,Desktop,macOS,Firefox,16,Safe,Safe
157,2026-01-20 02:17:00,vijay,192.168.94.51,Brazil,Success,2,Laptop,Linux,Chrome,19,Safe,Safe
158,2026-01-01 15:25:00,komal,192.168.90.38,Japan,Failed,4,Mobile,Windows,Edge,99,Malware,Threat
159,2026-01-03 03:56:00,admin,192.168.122.123,Russia,Failed,5,Laptop,Ubuntu,Edge,97,Credential Stuffing,Threat
160,2026-01-03 02:18:00,komal,192.168.139.201,India,Success,2,Desktop,Android,Firefox,29,Safe,Safe
161,2026-01-02 00:55:00,anita,192.168.238.208,India,Failed,7,Laptop,macOS,Firefox,97,Credential Stuffing,Threat
162,2026-01-10 22:18:00,bob,192.168.106.58,China,Failed,7,Laptop,Windows,Safari,84,Credential Stuffing,Threat
163,2026-01-19 10:30:00,pooja,192.168.122.23,Russia,Success,3,Mobile,Ubuntu,Firefox,20,Safe,Safe
164,2026-01-31 14:47:00,komal,192.168.237.197,Australia,Failed,6,Laptop,Ubuntu,Safari,100,Brute Force,Threat
165,2026-01-20 13:32:00,john,192.168.44.7,India,Failed,7,Laptop,Linux,Edge,93,Brute Force,Threat
166,2026-01-31 03:38:00,alice,192.168.211.57,India,Failed,8,Laptop,Windows,Chrome,79,Brute Force,Threat
167,2026-01-06 07:50:00,aditya,192.168.157.247,Japan,Failed,6,Desktop,Linux,Chrome,100,Credential Stuffing,Threat
168,2026-01-15 01:55:00,guest,192.168.230.165,UK,Failed,5,Laptop,macOS,Firefox,71,Brute Force,Threat
169,2026-01-24 06:23:00,priya,192.168.61.95,Nigeria,Failed,7,Mobile,Ubuntu,Firefox,87,Brute Force,Threat
170,2026-01-29 17:48:00,aditya,192.168.70.142,Germany,Success,0,Desktop,Ubuntu,Firefox,16,Safe,Safe
171,2026-01-15 18:53:00,anita,192.168.144.71,Russia,Success,0,Laptop,Windows,Safari,30,Safe,Safe
172,2026-01-21 22:11:00,john,192.168.25.247,Brazil,Failed,5,Desktop,Android,Safari,91,Brute Force,Threat
173,2026-01-09 19:25:00,pooja,192.168.7.93,Australia,Success,2,Mobile,Linux,Edge,12,Safe,Safe
174,2026-01-26 04:05:00,sneha,192.168.84.241,Nigeria,Failed,5,Laptop,Linux,Chrome,74,Phishing,Threat
175,2026-01-11 11:52:00,komal,192.168.89.97,Germany,Success,1,Mobile,Windows,Edge,10,Safe,Safe
176,2026-01-14 11:53:00,test,192.168.133.159,Germany,Failed,8,Mobile,Windows,Firefox,86,Malware,Threat
177,2026-02-02 13:21:00,john,192.168.98.209,UK,Failed,5,Laptop,Windows,Safari,100,Malware,Threat
178,2026-01-22 09:05:00,test,192.168.2.52,Russia,Failed,8,Mobile,Linux,Chrome,85,Credential Stuffing,Threat
179,2026-01-14 18:21:00,pooja,192.168.164.75,China,Failed,6,Laptop,Android,Edge,90,Credential Stuffing,Threat
180,2026-01-19 12:40:00,john,192.168.32.145,USA,Failed,4,Mobile,Ubuntu,Safari,93,Phishing,Threat
181,2026-01-02 03:42:00,bob,192.168.108.235,Nigeria,Failed,7,Desktop,macOS,Edge,98,Credential Stuffing,Threat
182,2026-01-04 15:42:00,anita,192.168.195.143,China,Success,0,Desktop,Android,Edge,8,Safe,Safe
183,2026-01-12 11:51:00,pooja,192.168.212.199,UK,Success,0,Desktop,Linux,Chrome,18,Safe,Safe
184,2026-01-09 16:59:00,rahul,192.168.152.101,USA,Failed,7,Desktop,Android,Chrome,97,Phishing,Threat
185,2026-01-08 21:11:00,john,192.168.77.184,Russia,Success,0,Mobile,Ubuntu,Edge,35,Safe,Safe
186,2026-01-23 18:04:00,priya,192.168.4.80,Nigeria,Failed,4,Laptop,Linux,Safari,70,Brute Force,Threat
187,2026-01-13 10:50:00,komal,192.168.78.189,UK,Failed,4,Desktop,Android,Chrome,100,Brute Force,Threat
188,2026-01-23 09:17:00,test,192.168.14.142,Brazil,Success,0,Mobile,Ubuntu,Firefox,17,Safe,Safe
189,2026-01-06 12:41:00,vijay,192.168.33.137,Japan,Failed,8,Laptop,Android,Safari,100,Credential Stuffing,Threat
190,2026-01-07 17:17:00,sneha,192.168.60.237,UK,Success,1,Desktop,Windows,Firefox,4,Safe,Safe
191,2026-01-27 07:36:00,rahul,192.168.63.9,Japan,Success,2,Mobile,Windows,Chrome,8,Safe,Safe
192,2026-01-13 11:16:00,vijay,192.168.34.224,UK,Success,0,Mobile,macOS,Edge,6,Safe,Safe
193,2026-01-09 15:22:00,aditya,192.168.140.101,China,Failed,7,Mobile,Linux,Chrome,70,Malware,Threat
194,2026-01-28 15:02:00,pooja,192.168.242.197,China,Failed,4,Laptop,Ubuntu,Edge,100,Malware,Threat
195,2026-01-05 18:22:00,vijay,192.168.196.48,China,Failed,4,Mobile,macOS,Firefox,91,Phishing,Threat
196,2026-01-28 10:47:00,bob,192.168.37.22,Australia,Failed,5,Laptop,Android,Edge,78,Malware,Threat
197,2026-01-07 09:02:00,anita,192.168.36.192,Germany,Success,1,Desktop,Linux,Edge,31,Safe,Safe
198,2026-01-08 00:41:00,pooja,192.168.187.12,Australia,Failed,8,Mobile,Windows,Chrome,80,Malware,Threat
199,2026-01-31 10:12:00,komal,192.168.170.135,USA,Failed,6,Mobile,Windows,Firefox,95,Malware,Threat
200,2026-01-31 13:00:00,rohit,192.168.157.173,India,Success,0,Mobile,Windows,Chrome,11,Safe,Safe
201,2026-01-11 02:57:00,aditya,192.168.116.152,Japan,Success,3,Laptop,Ubuntu,Chrome,9,Safe,Safe
202,2026-01-15 23:54:00,amit,192.168.95.232,USA,Failed,4,Mobile,Android,Chrome,87,Brute Force,Threat
203,2026-01-25 06:16:00,pooja,192.168.57.25,Nigeria,Failed,8,Mobile,Windows,Safari,74,Credential Stuffing,Threat
204,2026-02-03 09:17:00,priya,192.168.21.177,China,Success,0,Mobile,Android,Edge,29,Safe,Safe
205,2026-01-08 05:23:00,john,192.168.199.74,Nigeria,Failed,4,Desktop,Android,Safari,81,Credential Stuffing,Threat
206,2026-01-17 11:43:00,aditya,192.168.112.33,Germany,Success,0,Mobile,Linux,Chrome,27,Safe,Safe
207,2026-01-29 08:32:00,sneha,192.168.163.159,Russia,Failed,4,Desktop,Ubuntu,Edge,87,Credential Stuffing,Threat
208,2026-02-02 13:56:00,vijay,192.168.83.88,China,Success,0,Mobile,macOS,Edge,31,Safe,Safe
209,2026-01-28 10:40:00,sneha,192.168.188.3,Japan,Failed,6,Mobile,Android,Safari,100,Malware,Threat
210,2026-02-03 02:10:00,test,192.168.219.92,Australia,Success,3,Desktop,Ubuntu,Edge,10,Safe,Safe
211,2026-01-12 23:13:00,rohit,192.168.181.149,Russia,Failed,6,Laptop,Linux,Chrome,74,Credential Stuffing,Threat
212,2026-01-09 05:32:00,alice,192.168.31.162,India,Success,2,Mobile,macOS,Edge,13,Safe,Safe
213,2026-01-19 13:45:00,alice,192.168.254.127,Brazil,Failed,7,Desktop,Windows,Safari,94,Brute Force,Threat
214,2026-01-08 05:28:00,priya,192.168.111.109,Japan,Failed,6,Mobile,Windows,Firefox,92,Phishing,Threat
215,2026-01-03 11:20:00,komal,192.168.153.182,Germany,Failed,5,Desktop,macOS,Safari,96,Phishing,Threat
216,2026-01-07 13:33:00,rohit,192.168.197.141,UK,Success,1,Mobile,macOS,Chrome,1,Safe,Safe
217,2026-01-30 07:46:00,john,192.168.253.9,Australia,Success,1,Laptop,Windows,Firefox,11,Safe,Safe
218,2026-01-20 20:28:00,rohit,192.168.228.103,Brazil,Success,2,Desktop,Android,Safari,19,Safe,Safe
219,2026-01-25 21:07:00,alice,192.168.83.2,India,Success,2,Mobile,macOS,Safari,9,Safe,Safe
220,2026-01-01 22:31:00,pooja,192.168.140.123,Germany,Success,0,Mobile,macOS,Chrome,12,Safe,Safe
221,2026-01-18 00:20:00,komal,192.168.42.127,China,Success,0,Laptop,Windows,Edge,25,Safe,Safe
222,2026-01-07 16:26:00,alice,192.168.127.36,Germany,Failed,8,Desktop,Linux,Chrome,100,Credential Stuffing,Threat
223,2026-01-18 11:17:00,bob,192.168.93.176,Australia,Failed,5,Desktop,Ubuntu,Chrome,70,Phishing,Threat
224,2026-01-12 10:03:00,pooja,192.168.117.217,Japan,Success,3,Desktop,Android,Edge,25,Safe,Safe
225,2026-02-03 05:02:00,bob,192.168.117.244,China,Failed,4,Mobile,Ubuntu,Firefox,72,Phishing,Threat
226,2026-01-28 08:53:00,aditya,192.168.146.124,Japan,Failed,4,Desktop,macOS,Firefox,78,Phishing,Threat
227,2026-01-19 19:26:00,sneha,192.168.241.59,Germany,Failed,7,Laptop,Linux,Safari,92,Credential Stuffing,Threat
228,2026-01-15 09:56:00,test,192.168.12.184,Japan,Failed,4,Laptop,Android,Firefox,85,Credential Stuffing,Threat
229,2026-01-25 17:28:00,vijay,192.168.83.215,UK,Success,1,Laptop,Ubuntu,Chrome,28,Safe,Safe
